"NumberOfDataStructures (Normal+GADT+FamStruct+GADTFamStruct)","48365"
"NormalStructures","47637"
"GadtStructures","638"
"FamStructures","80"
"GadtFamStructures","10"
"StructuresThatAreNewtype","7046"
"StructuresThatContainAnInlineDeriving","28595"
"NormalThatContainAnInlineDeriving","28537"
"GadtThatContainAnInlineDeriving","46"
"FamStructThatContainAnInlineDeriving","12"
"GadtFamStructThatContainAnInlineDeriving","0"
"NewtypeThatContainAnInlineDeriving","3595"
"NumberOfDerivedInstancesInAnyStruct","66326"
"DerivedInstancesInNormal","66200"
"DerivedInstancesInGadt","72"
"DerivedInstancesInFamStruct","54"
"DerivedInstancesInGadtFamStruct","0"
"DerivedInstancesInNewtype","11991"
"StandaloneDerivingDeclarations","1047"
"TopDerivedClasses","[(""Show"",21615),(""Eq"",13641),(""Typeable"",6401),(""Ord"",4961),(""Read"",3476),(""Data"",2050),(""Enum"",1021),(""Bounded"",523),(""Functor"",203),(""Generic"",179),(""Ix"",91),(""Foldable"",88),(""Traversable"",86)]"
"InstancesChecked","111474"
"InstancesPreferredToWriteManualThanAutoDerive","11229"
"TopManual","[(""Show"",4863),(""Functor"",1864),(""Eq"",1398),(""Ord"",898),(""Read"",591),(""Foldable"",394),(""Traversable"",279),(""Typeable"",257),(""Enum"",246),(""Data"",180),(""Generic"",118),(""Bounded"",110),(""Ix"",31)]"
"PossibleGenericity (Data+Typeable+Generic) Derived","8630"
"PossibleGenericity (Data+Typeable+Generic) Manual","555"
