"NumberOfDataStructures (Normal+GADT+FamStruct+GADTFamStruct)","48713"
"NormalStructures","47987"
"GadtStructures","636"
"FamStructures","80"
"GadtFamStructures","10"
"StructuresThatAreNewtype","7411"
"StructuresThatContainAnInlineDeriving","28395"
"NormalThatContainAnInlineDeriving","28339"
"GadtThatContainAnInlineDeriving","44"
"FamStructThatContainAnInlineDeriving","12"
"GadtFamStructThatContainAnInlineDeriving","0"
"NewtypeThatContainAnInlineDeriving","3646"
"NumberOfDerivedInstancesInAnyStruct","67263"
"DerivedInstancesInNormal","67139"
"DerivedInstancesInGadt","70"
"DerivedInstancesInFamStruct","54"
"DerivedInstancesInGadtFamStruct","0"
"DerivedInstancesInNewtype","12153"
"StandaloneDerivingDeclarations","1105"
"TopDerivedClasses","[(""Show"",21289),(""Eq"",13334),(""Typeable"",6911),(""Ord"",5333),(""Read"",3492),(""Data"",2487),(""Enum"",1024),(""Bounded"",522),(""Functor"",261),(""Generic"",190),(""Ix"",91),(""Foldable"",89),(""Traversable"",87)]"
"InstancesChecked","112156"
"InstancesPreferredToWriteManualThanAutoDerive","11485"
"TopManual","[(""Show"",4929),(""Functor"",2018),(""Eq"",1392),(""Ord"",917),(""Read"",590),(""Foldable"",407),(""Traversable"",292),(""Enum"",251),(""Typeable"",250),(""Data"",182),(""Bounded"",114),(""Generic"",113),(""Ix"",30)]"
"PossibleGenericity (Data+Typeable+Generic) Derived","9588"
"PossibleGenericity (Data+Typeable+Generic) Manual","545"
